iter	RMSE
0	14.78433382
1	14.02338587
2	13.29638768
3	12.60982552
4	11.95941619
5	11.36874922
6	10.79162496
7	10.23968269
8	9.718221184
9	9.221883843
10	8.753887535
11	8.315252122
12	7.899763702
13	7.502895281
14	7.125268203
15	6.767068455
16	6.426982668
17	6.106989521
18	5.798778333
19	5.513701201
20	5.244848867
21	4.984978221
22	4.743368306
23	4.510418745
24	4.292685697
25	4.091190181
26	3.890977879
27	3.700726224
28	3.526893485
29	3.357358624
30	3.198409963
31	3.05129535
32	2.910647073
33	2.776230716
34	2.648390041
35	2.525628372
36	2.410601862
37	2.304174923
38	2.19768613
39	2.101559103
40	2.011743239
41	1.925693025
42	1.844128497
43	1.76491104
44	1.691452247
45	1.626570511
46	1.561885696
47	1.500977613
48	1.443896954
49	1.391546364
50	1.340723184
51	1.292982647
52	1.251565029
53	1.21108926
54	1.171988655
55	1.13615716
56	1.102722103
57	1.070289164
58	1.041430509
59	1.012508648
60	0.9874842731
61	0.9634256609
62	0.9412328392
63	0.9194667035
64	0.9011101753
65	0.8821793937
66	0.8642303764
67	0.8480212687
68	0.8323535881
69	0.8187153848
70	0.8061981389
71	0.7917276198
72	0.7803795706
73	0.7695148951
74	0.7591101981
75	0.7471591422
76	0.7369861883
77	0.7276803458
78	0.7180094275
79	0.7099492273
80	0.702536595
81	0.695944212
82	0.6881913787
83	0.6807897121
84	0.67533281
85	0.6695724418
86	0.6653488541
87	0.6616872427
88	0.6569976581
89	0.6528961073
90	0.648496542
91	0.6442481176
92	0.6394232619
93	0.6354980799
94	0.6317075384
95	0.6282068265
96	0.6254186965
97	0.622260901
98	0.6192072184
99	0.6162218721
100	0.6131464906
101	0.6112586167
102	0.6077793355
103	0.6057655414
104	0.6039860777
105	0.6009598755
106	0.5978520115
107	0.5947688666
108	0.5912758563
109	0.589328773
110	0.5873247648
111	0.5841538447
112	0.5819871372
113	0.5804336939
114	0.5791068755
115	0.5764510371
116	0.5738234367
117	0.5718403626
118	0.5701500426
119	0.5686130427
120	0.5658644329
121	0.5647514908
122	0.5619797901
123	0.5602463048
124	0.5592420351
125	0.557566445
126	0.5557648809
127	0.5542094112
128	0.552715246
129	0.5510676504
130	0.5502552607
131	0.548637307
132	0.5469330347
133	0.5454676928
134	0.5448030047
135	0.5433865435
136	0.5423601617
137	0.5403374384
138	0.5389840777
139	0.5374827325
140	0.5368048898
141	0.535389106
142	0.5336293318
143	0.5326762548
144	0.5317211338
145	0.5307994588
146	0.5285315339
147	0.5273078117
148	0.526580071
149	0.5255494966
150	0.5243899974
151	0.5226250826
152	0.5213667267
153	0.5205546124
154	0.5196228944
155	0.5188631442
156	0.5167654272
157	0.515099952
158	0.5146293944
159	0.513592792
160	0.5131995163
161	0.5126418118
162	0.5108700162
163	0.5095492447
164	0.5083909636
165	0.5071941606
166	0.5056856502
167	0.5042165492
168	0.5032105121
169	0.5014505067
170	0.5006734636
171	0.499927031
172	0.4994370753
173	0.4981116694
174	0.4974317769
175	0.4963741358
176	0.49490819
177	0.4942675328
178	0.4931229923
179	0.4914976781
180	0.4906510667
181	0.4904197995
182	0.4896982667
183	0.4887662662
184	0.4869853242
185	0.4861830925
186	0.4855039938
187	0.4846762685
188	0.4844297606
189	0.4836517503
190	0.4824669028
191	0.4816375203
192	0.4809127532
193	0.4799469943
194	0.4796448388
195	0.4791545718
196	0.4784931012
197	0.4773828327
198	0.476439903
199	0.4755109783
200	0.4752194165
201	0.4744088323
202	0.473516941
203	0.4732739021
204	0.4724039651
205	0.4717859937
206	0.4708942262
207	0.4700152563
208	0.4669391975
209	0.4662306055
210	0.4651325644
211	0.4638710411
212	0.4631649465
213	0.4616068047
214	0.4608110977
215	0.4594914568
216	0.4590550882
217	0.4578537072
218	0.4576505003
219	0.4565864984
220	0.456389846
221	0.455900347
222	0.4551754973
223	0.4545637873
224	0.4534650559
225	0.4529492288
226	0.4523142412
