date,value
2025-01-10,102.2911
2025-01-11,101.9146
2025-01-14,102.7081
2025-01-15,103.438
2025-01-16,102.8078
2025-01-17,102.3762
2025-01-18,102.4137
2025-01-21,101.9579
2025-01-22,99.9282
2025-01-23,98.2804
2025-01-24,99.0978
2025-01-25,98.2636
2025-01-28,97.132
2025-01-29,97.9658
2025-01-30,98.0126
2025-01-31,98.0062
2025-02-01,97.8107
2025-02-04,99.9433
2025-02-05,98.5336
2025-02-06,98.0556
2025-02-07,96.9104
2025-02-08,97.2762
2025-02-11,96.7821
2025-02-12,95.8024
2025-02-13,94.0485
2025-02-14,91.0313
2025-02-15,90.3099
2025-02-18,91.4347
2025-02-19,91.3398
2025-02-20,90.4268
2025-02-21,88.5103
2025-02-22,88.1676
2025-02-25,88.2065
2025-02-26,86.6318
2025-02-27,85.9279
2025-02-28,87.6967
